symbol,bars,avg_close,max_high,min_low,total_vol
ASHIKAG.NS,19,nan,451.0,399.0,866863
ASHOKLEY.NS,252,165.34341269841266,215.42,132.26,5039049004
ASIANPAINT.NS,252,2582.153568253968,2985.7,2115.0,296122024
ASSAMENT.NS,18,790.6083333333332,857.75,705.0,282
ATULAUTO.NS,251,469.55836653386444,596.55,380.05,95164384
BAJAJELEC.NS,252,nan,653.8,301.0,99480906
BAJAJHFL.NS,252,92.29849206349208,117.0,72.65,1749502769
BAJFINANCE.NS,252,988.0097222222223,1176.4,787.9,2054369550
BANKA.NS,249,nan,97.88,41.0,2143311
BELRISE.NS,252,nan,268.2,139.5,1568908691
BHANDARI.NS,251,nan,5.13,2.0,87384758
BIL.NS,250,nan,1150.0,602.0,2240190
BLBLIMITED.NS,251,nan,22.47,12.0,36049312
CANFINHOME.NS,251,nan,971.5,733.0,58028073
CCL.NS,251,1038.598605577689,1242.2,815.5,85989345
CEINSYS.NS,142,920.9591549295775,1249.9,672.0,11754665
CENTRALBK.NS,252,nan,40.92,29.32,2301297530
CINELINE.NS,251,nan,104.4,73.35,5925910
CMSINFO.NS,251,nan,429.65,223.5,170330117
COFORGE.NS,252,1570.6210317460313,2021.2,1008.1,721904933
COMPUSOFT.NS,250,nan,20.75,12.0,9664629
CREATIVEYE.NS,249,nan,8.83,5.16,5890259
CRSL.NS,18,nan,3.56,2.14,23622905
CSBBANK.NS,251,nan,574.4,304.0,178704351
DALBHARAT.NS,250,nan,2496.3,1605.0,73622243
DCBBANK.NS,252,nan,234.8,122.4,593051430
DEN.NS,249,nan,37.35,22.52,144765462
DENORA.NS,250,759.5797999999999,960.35,560.25,1817727
DLINKINDIA.NS,251,nan,549.2,367.65,35319932
DPABHUSHAN.NS,250,nan,1670.0,866.1,9649053
DYNPRO.NS,250,nan,384.0,190.8,5291757
E2E.NS,251,335.41673306772907,698.0,183.36,362140400
EMIL.NS,251,123.99434262948208,196.74,84.9,603230376
ENRIN.NS,252,3122.7265849206337,3968.0,2115.0,156412880
ERIS.NS,250,nan,1740.0,1200.0,27988224
EXXARO.NS,249,nan,10.33,5.99,214528926
DHOOTTRANS.NS,20,1501.6,1728.7,1131.0,137038365
GPPL.NS,251,nan,200.09,141.55,482648807
GRADIENTE.NS,91,nan,9.4,2.08,85234339
HRYNSHP.NS,19,nan,104.05,91.0,22702
VISAKAIND.NS,24,92.87041666666669,104.41,80.57,26383618
ZEEL.NS,24,98.81333333333333,110.63,86.9,803446393
ZUARI.NS,24,227.21833333333333,243.5,214.3,3007912
VISHAL.NS,19,19.35842105263158,22.05,17.85,3617581
RAYMONDLSL.NS,252,nan,1350.0,628.25,42486507
RMC.NS,115,339.33895652173914,530.0,210.31,5776881
SAGARDEEP.NS,250,nan,31.48,20.81,3731880
SAHLIBHFI.NS,109,nan,91.95,66.6,4473025
SANGAMIND.NS,249,nan,672.5,375.0,16291995
SANOFI.NS,251,nan,5113.5,3054.0,5474644
SAYAJIHOTL.NS,107,nan,365.2,138.7,18963
SENORES.NS,252,975.9472222222223,1599.0,662.45,77803378
MEDIASSIST.NS,251,nan,575.55,293.0,44964841
MSPL.NS,249,nan,46.12,26.25,389179228
NAHARINDUS.NS,250,nan,154.0,83.05,6027537
NECLIFE.NS,251,nan,22.4,9.3,210112440
