indicator_id,country_iso3,date,value,prev,yoy
SP.POP.TOTL,NER,2023,26159867.0,25311973.0,0.03349774432834612
SP.POP.TOTL,PRT,2022,10434332.0,,
SP.POP.TOTL,PRT,2023,10578174.0,10434332.0,0.013785453635172812
SP.POP.TOTL,SSF,2022,1228187451.0,,
SP.POP.TOTL,SSF,2023,1258809472.0,1228187451.0,0.02493269327501051
SP.POP.TOTL,WLD,2022,7988550201.0,,
SP.POP.TOTL,WLD,2023,8062923417.0,7988550201.0,0.009309976670196054
SP.POP.TOTL,AGO,2022,35635029.0,,
SP.POP.TOTL,AGO,2023,36749906.0,35635029.0,0.031285985483553276
SP.POP.TOTL,CAN,2022,38950132.0,,
SP.POP.TOTL,CAN,2023,40049088.0,38950132.0,0.02821443583297741
SP.POP.TOTL,COM,2022,834188.0,,
SP.POP.TOTL,COM,2023,850387.0,834188.0,0.019418883992577213
SP.POP.TOTL,GAB,2022,2430747.0,,
SP.POP.TOTL,GAB,2023,2484789.0,2430747.0,0.02223267168487712
SP.POP.TOTL,GNB,2022,2105529.0,,
SP.POP.TOTL,GNB,2023,2153339.0,2105529.0,0.022706882688388524
SP.POP.TOTL,MMR,2023,54133798.0,53756787.0,0.007013272575237802
SP.POP.TOTL,MNE,2022,623591.0,,
SP.POP.TOTL,MNE,2023,623529.0,623591.0,-9.942414178524064e-05
SP.POP.TOTL,NOR,2022,5457127.0,,
SP.POP.TOTL,NOR,2023,5519601.0,5457127.0,0.01144814844880832
SP.POP.TOTL,OSS,2022,12699005.0,,
SP.POP.TOTL,OSS,2023,12822134.0,12699005.0,0.009695956494229272
SP.POP.TOTL,PLW,2022,17759.0,,
SP.POP.TOTL,PLW,2023,17727.0,17759.0,-0.0018019032603187116
SP.POP.TOTL,PNG,2022,10203169.0,,
SP.POP.TOTL,PNG,2023,10389635.0,10203169.0,0.018275302506505577
SP.POP.TOTL,SDN,2022,49383346.0,,
SP.POP.TOTL,SDN,2023,50042791.0,49383346.0,0.013353590904917622
SP.POP.TOTL,SSA,2022,1228067573.0,,
SP.POP.TOTL,SSA,2023,1258689699.0,1228067573.0,0.024935212583778565
SP.POP.TOTL,TEC,2022,460942269.0,,
SP.POP.TOTL,TEC,2023,458599775.0,460942269.0,-0.005081968301761451
SP.POP.TOTL,UGA,2022,47312719.0,,
SP.POP.TOTL,UGA,2023,48656601.0,47312719.0,0.02840424368762235
SP.POP.TOTL,LBY,2023,7305659.0,7223805.0,0.011331147504673783
SP.POP.TOTL,LTU,2022,2831639.0,,
SP.POP.TOTL,LTU,2023,2871585.0,2831639.0,0.014107024235787118
SP.POP.TOTL,MAC,2022,677300.0,,
SP.POP.TOTL,MAC,2023,678800.0,677300.0,0.0022146759190905065
SP.POP.TOTL,MUS,2022,1262523.0,,
SP.POP.TOTL,MUS,2023,1248647.0,1262523.0,-0.010990690862661513
SP.POP.TOTL,NGA,2022,223150896.0,,
SP.POP.TOTL,NGA,2023,227882945.0,223150896.0,0.021205601612283017
SP.POP.TOTL,PSE,2022,5043612.0,,
SP.POP.TOTL,PSE,2023,5165775.0,5043612.0,0.024221331855027707
SP.POP.TOTL,RUS,2022,144236933.0,,
SP.POP.TOTL,RUS,2023,143826130.0,144236933.0,-0.0028481124179200344
SP.POP.TOTL,SGP,2022,5637022.0,,
SP.POP.TOTL,SGP,2023,5917648.0,5637022.0,0.049782668934057736
SP.POP.TOTL,TGO,2022,8068616.0,,
SP.POP.TOTL,TGO,2023,8223850.0,8068616.0,0.01923923508071273
SP.POP.TOTL,XKX,2022,1768096.0,,
SP.POP.TOTL,XKX,2023,1682668.0,1768096.0,-0.04831638101098583
SP.POP.TOTL,BGR,2022,6465097.0,,
SP.POP.TOTL,BGR,2023,6446596.0,6465097.0,-0.002861674001178946
SP.POP.TOTL,CHL,2022,19553036.0,,
SP.POP.TOTL,CHL,2023,19658835.0,19553036.0,0.005410873278195775
SP.POP.TOTL,COL,2022,51737944.0,,
SP.POP.TOTL,COL,2023,52321152.0,51737944.0,0.011272345882163389
SP.POP.TOTL,ECA,2022,250514347.0,,
SP.POP.TOTL,ECA,2023,248718948.0,250514347.0,-0.007166851006740943
SP.POP.TOTL,IDN,2022,278830529.0,,
SP.POP.TOTL,IDN,2023,281190067.0,278830529.0,0.008462265622284137
SP.POP.TOTL,KIR,2022,130469.0,,
SP.POP.TOTL,KIR,2023,132530.0,130469.0,0.01579685595812032
SP.POP.TOTL,LCN,2022,653108131.0,,
SP.POP.TOTL,LCN,2023,657616519.0,653108131.0,0.006902973314843021
SP.POP.TOTL,LDC,2022,1133564482.0,,
SP.POP.TOTL,LDC,2023,1159744187.0,1133564482.0,0.023095029365960675
SP.POP.TOTL,MDA,2022,2528654.0,,
SP.POP.TOTL,MDA,2023,2457783.0,2528654.0,-0.02802716385871693
SP.POP.TOTL,GTM,2022,17847877.0,,
SP.POP.TOTL,GTM,2023,18124838.0,17847877.0,0.015517868035509209
SP.POP.TOTL,IDA,2022,1865506968.0,,
SP.POP.TOTL,IDA,2023,1905228834.0,1865506968.0,0.021292799588192156
SP.POP.TOTL,KHM,2022,17201724.0,,
SP.POP.TOTL,KHM,2023,17423880.0,17201724.0,0.012914752032993903
SP.POP.TOTL,OED,2022,1378591781.0,,
SP.POP.TOTL,OED,2023,1387846131.0,1378591781.0,0.0067129008946267615
SP.POP.TOTL,PER,2022,33475438.0,,
SP.POP.TOTL,PER,2023,33845617.0,33475438.0,0.011058227229170235
SP.POP.TOTL,SRB,2022,6664449.0,,
SP.POP.TOTL,SRB,2023,6623183.0,6664449.0,-0.006191959755412638
SP.POP.TOTL,TUR,2022,84979913.0,,
SP.POP.TOTL,TUR,2023,85325965.0,84979913.0,0.004072162323818807
SP.POP.TOTL,VNM,2022,99680655.0,,
SP.POP.TOTL,VNM,2023,100352192.0,99680655.0,0.006736883901896511
SP.POP.TOTL,AFG,2022,40578842.0,,
SP.POP.TOTL,AFG,2023,41454761.0,40578842.0,0.02158560857897325
SP.POP.TOTL,ARM,2022,2969200.0,,
SP.POP.TOTL,ARM,2023,2964300.0,2969200.0,-0.0016502761686649603
SP.POP.TOTL,BOL,2022,12077154.0,,
SP.POP.TOTL,BOL,2023,12244159.0,12077154.0,0.013828175081645891
SP.POP.TOTL,EAP,2022,2133560408.0,,
SP.POP.TOTL,EAP,2023,2137527754.0,2133560408.0,0.0018594955104734958
SP.POP.TOTL,HKG,2022,7346100.0,,
SP.POP.TOTL,HKG,2023,7536100.0,7346100.0,0.02586406392507589
SP.POP.TOTL,HRV,2022,3855641.0,,
SP.POP.TOTL,HRV,2023,3859686.0,3855641.0,0.001049112196908374
SP.POP.TOTL,MDG,2022,30437261.0,,
SP.POP.TOTL,MDG,2023,31195932.0,30437261.0,0.024925731655026383
SP.POP.TOTL,MRT,2022,4875637.0,,
SP.POP.TOTL,MRT,2023,5022441.0,4875637.0,0.03010970669063345
SP.POP.TOTL,NAM,2022,2889662.0,,
SP.POP.TOTL,NAM,2023,2963095.0,2889662.0,0.025412314658254147
SP.POP.TOTL,PRK,2022,26328845.0,,
SP.POP.TOTL,PRK,2023,26418204.0,26328845.0,0.0033939582233857963
SP.POP.TOTL,PSS,2022,2656049.0,,
SP.POP.TOTL,MAF,2022,28870.0,,
SP.POP.TOTL,MAF,2023,27515.0,28870.0,-0.04693453411846207
SP.POP.TOTL,PRI,2022,3220148.0,,
SP.POP.TOTL,PRI,2023,3203794.0,3220148.0,-0.005078648559010331
SP.POP.TOTL,PRY,2022,6760464.0,,
SP.POP.TOTL,PRY,2023,6844146.0,6760464.0,0.012378144458723542
SP.POP.TOTL,SMR,2022,33755.0,,
SP.POP.TOTL,SMR,2023,33860.0,33755.0,0.0031106502740334764
SP.POP.TOTL,TJK,2022,10182222.0,,
SP.POP.TOTL,TJK,2023,10389799.0,10182222.0,0.02038621825373676
SP.POP.TOTL,OMN,2022,4730226.0,,
SP.POP.TOTL,OMN,2023,5049269.0,4730226.0,0.06744772871317353
SP.POP.TOTL,PAK,2022,243700667.0,,
SP.POP.TOTL,PAK,2023,247504495.0,243700667.0,0.015608607259166837
SP.POP.TOTL,PST,2022,1117420833.0,,
SP.POP.TOTL,PST,2023,1121263972.0,1117420833.0,0.00343929420904219
SP.POP.TOTL,TCA,2022,45847.0,,
SP.POP.TOTL,TCA,2023,46198.0,45847.0,0.0076558989683076315
SP.POP.TOTL,URY,2022,3390913.0,,
SP.POP.TOTL,URY,2023,3388081.0,3390913.0,-0.0008351732999342655
SP.POP.TOTL,VEN,2022,28213017.0,,
SP.POP.TOTL,VEN,2023,28300854.0,28213017.0,0.0031133501248732103
SP.POP.TOTL,ZWE,2022,16069056.0,,
SP.POP.TOTL,ZWE,2023,16340822.0,16069056.0,0.01691238116290092
SP.POP.TOTL,ARB,2022,471352066.0,,
